Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2022 00:00:00	9999	9999	9	9999	9999	9999	9999	9999	9999	9999
  01-Jan-2022 00:30:00	51.05940	-4.27563	0	1.760	2.890	10.5	5.6	274	 14	11.0
  01-Jan-2022 01:00:00	51.05942	-4.27568	0	1.990	3.190	12.5	6.0	278	 18	11.0
  01-Jan-2022 01:30:00	51.05941	-4.27568	0	1.810	2.830	11.1	5.3	277	 12	11.1
  01-Jan-2022 02:00:00	51.05944	-4.27578	0	1.710	2.790	13.3	4.9	286	 18	11.1
  01-Jan-2022 02:30:00	51.05942	-4.27574	0	1.710	2.450	13.3	4.9	283	 18	11.1
  01-Jan-2022 03:00:00	51.05941	-4.27574	0	1.500	2.330	12.5	4.5	286	 28	11.1
  01-Jan-2022 03:30:00	51.05944	-4.27585	0	1.610	2.160	11.8	5.0	277	 22	11.1
  01-Jan-2022 04:00:00	51.05946	-4.27602	0	1.460	1.950	12.5	4.8	287	 21	11.1
  01-Jan-2022 04:30:00	51.05946	-4.27617	0	1.600	2.890	12.5	5.3	281	 22	11.1
  01-Jan-2022 05:00:00	51.05929	-4.27662	0	1.690	2.810	11.8	5.5	281	 16	11.1
  01-Jan-2022 05:30:00	51.05886	-4.27677	0	1.900	2.960	11.8	6.2	283	 12	11.1
  01-Jan-2022 06:00:00	51.05879	-4.27671	0	1.750	2.910	12.5	6.0	286	 12	11.0
  01-Jan-2022 06:30:00	51.05873	-4.27673	0	1.680	2.940	12.5	5.9	286	 12	11.1
  01-Jan-2022 07:00:00	51.05869	-4.27666	0	1.790	2.870	11.1	6.3	280	 10	11.1
  01-Jan-2022 07:30:00	51.05869	-4.27669	0	1.800	2.660	11.8	6.7	277	  9	11.1
  01-Jan-2022 08:00:00	51.05870	-4.27658	0	1.800	3.070	11.8	7.0	277	 13	11.1
  01-Jan-2022 08:30:00	51.05880	-4.27651	0	1.960	2.890	10.5	7.4	276	  7	11.1
  01-Jan-2022 09:00:00	51.05911	-4.27619	0	2.040	3.260	11.1	8.0	281	  8	11.1
  01-Jan-2022 09:30:00	51.05940	-4.27576	0	2.160	2.980	11.8	8.2	276	  9	11.1
  01-Jan-2022 10:00:00	51.05939	-4.27566	0	2.410	3.320	11.1	8.2	278	  6	11.1
  01-Jan-2022 10:30:00	51.05932	-4.27551	0	2.810	4.070	12.5	8.7	276	  7	11.1
  01-Jan-2022 11:00:00	51.05930	-4.27548	0	2.640	4.470	12.5	7.8	274	 13	11.1
  01-Jan-2022 11:30:00	51.05934	-4.27551	0	2.490	3.700	11.1	7.0	271	 12	11.1
  01-Jan-2022 12:00:00	51.05932	-4.27548	0	2.750	3.910	12.5	7.3	273	 13	11.2
  01-Jan-2022 12:30:00	51.05930	-4.27548	0	2.830	3.870	12.5	7.4	276	 16	11.2
  01-Jan-2022 13:00:00	51.05931	-4.27548	0	2.430	3.760	12.5	6.3	270	 15	11.2
  01-Jan-2022 13:30:00	51.05934	-4.27555	0	2.480	3.830	11.8	6.7	271	 10	11.2
  01-Jan-2022 14:00:00	51.05932	-4.27553	0	2.190	3.320	12.5	6.2	278	 12	11.2
  01-Jan-2022 14:30:00	51.05935	-4.27557	0	2.060	3.190	11.8	5.8	278	 16	11.2
  01-Jan-2022 15:00:00	51.05934	-4.27557	0	2.100	3.180	12.5	6.1	277	 13	11.2
  01-Jan-2022 15:30:00	51.05934	-4.27557	0	1.920	3.240	13.3	5.9	277	 18	11.1
  01-Jan-2022 16:00:00	51.05936	-4.27563	0	2.140	3.170	13.3	6.8	281	 14	11.1
  01-Jan-2022 16:30:00	51.05935	-4.27572	0	2.160	3.940	14.3	6.9	283	 17	11.1
  01-Jan-2022 17:00:00	51.05927	-4.27613	0	2.130	3.060	13.3	7.3	283	 14	11.1
  01-Jan-2022 17:30:00	51.05879	-4.27673	0	2.060	3.010	14.3	7.4	284	 12	11.1
  01-Jan-2022 18:00:00	51.05871	-4.27671	0	2.300	4.310	15.4	8.3	284	 11	11.2
  01-Jan-2022 18:30:00	51.05866	-4.27666	0	2.220	3.690	14.3	8.7	281	 13	11.1
  01-Jan-2022 19:00:00	51.05865	-4.27671	0	2.130	3.380	15.4	8.7	281	 12	11.2
  01-Jan-2022 19:30:00	51.05862	-4.27664	0	2.290	3.420	15.4	9.5	283	 12	11.2
  01-Jan-2022 20:00:00	51.05858	-4.27660	0	2.490	3.810	14.3	10.3	284	 12	11.2
  01-Jan-2022 20:30:00	51.05865	-4.27664	0	2.660	4.180	15.4	10.8	281	  9	11.2
  01-Jan-2022 21:00:00	51.05868	-4.27671	0	2.550	3.860	15.4	10.5	278	 13	11.2
  01-Jan-2022 21:30:00	51.05871	-4.27666	0	2.540	4.170	15.4	10.3	284	 10	11.2
  01-Jan-2022 22:00:00	51.05868	-4.27636	0	3.060	4.450	14.3	10.5	280	  7	11.2
  01-Jan-2022 22:30:00	51.05880	-4.27615	0	3.130	4.750	13.3	10.3	278	 10	11.2
  01-Jan-2022 23:00:00	51.05890	-4.27576	0	2.880	3.890	12.5	10.0	278	  6	11.2
  01-Jan-2022 23:30:00	51.05915	-4.27542	0	2.960	3.890	14.3	9.5	278	  7	11.2
  02-Jan-2022 00:00:00	51.05932	-4.27555	0	2.940	4.560	12.5	9.3	277	 10	11.2
  02-Jan-2022 00:30:00	51.05932	-4.27548	0	3.150	4.560	13.3	9.1	273	 11	11.2
  02-Jan-2022 01:00:00	51.05931	-4.27555	0	2.910	3.460	12.5	8.2	274	 14	11.2
  02-Jan-2022 01:30:00	51.05935	-4.27559	0	2.750	3.850	13.3	7.7	276	 12	11.2
  02-Jan-2022 02:00:00	51.05936	-4.27555	0	2.540	4.120	12.5	6.3	273	 13	11.2
  02-Jan-2022 02:30:00	51.05934	-4.27551	0	2.080	3.150	13.3	5.1	269	 19	11.2
  02-Jan-2022 03:00:00	51.05931	-4.27551	0	1.940	2.630	13.3	5.3	276	 19	11.2
  02-Jan-2022 03:30:00	51.05932	-4.27551	0	1.840	3.100	12.5	5.3	278	 24	11.2
  02-Jan-2022 04:00:00	51.05932	-4.27553	0	1.860	2.700	14.3	5.5	281	 18	11.2
  02-Jan-2022 04:30:00	51.05930	-4.27557	0	1.780	3.080	12.5	5.5	288	 19	11.2
  02-Jan-2022 05:00:00	51.05931	-4.27557	0	1.730	2.390	13.3	5.4	276	 32	11.2
  02-Jan-2022 05:30:00	51.05937	-4.27574	0	1.760	3.160	12.5	5.5	284	 16	11.2
  02-Jan-2022 06:00:00	51.05908	-4.27619	0	1.810	2.540	11.1	5.7	286	 13	11.2
  02-Jan-2022 06:30:00	51.05882	-4.27666	0	1.800	2.910	13.3	5.9	284	 15	11.2
  02-Jan-2022 07:00:00	51.05867	-4.27662	0	1.710	2.460	13.3	6.0	278	 14	11.2
  02-Jan-2022 07:30:00	51.05861	-4.27658	0	1.780	2.640	14.3	6.3	280	 19	11.2
  02-Jan-2022 08:00:00	51.05857	-4.27649	0	1.650	2.350	14.3	6.6	278	 15	11.2
  02-Jan-2022 08:30:00	51.05856	-4.27645	0	1.770	2.660	12.5	6.8	277	 11	11.2
  02-Jan-2022 09:00:00	51.05855	-4.27615	0	1.700	2.300	12.5	6.7	276	 13	11.2
  02-Jan-2022 09:30:00	51.05864	-4.27593	0	1.800	3.210	12.5	6.8	281	 11	11.2
  02-Jan-2022 10:00:00	51.05891	-4.27568	0	1.950	2.710	12.5	7.3	276	  9	11.2
  02-Jan-2022 10:30:00	51.05910	-4.27544	0	1.960	2.950	11.8	6.9	274	 10	11.2
  02-Jan-2022 11:00:00	51.05922	-4.27542	0	2.270	3.960	12.5	7.1	273	  8	11.2
  02-Jan-2022 11:30:00	51.05925	-4.27542	0	2.300	3.390	11.8	7.0	283	 14	11.2
  02-Jan-2022 12:00:00	51.05925	-4.27544	0	2.250	4.170	13.3	6.6	271	 15	11.2
  02-Jan-2022 12:30:00	51.05921	-4.27540	0	2.620	3.770	12.5	6.7	274	 14	11.2
  02-Jan-2022 13:00:00	51.05923	-4.27540	0	2.580	3.620	13.3	6.5	276	 16	11.2
  02-Jan-2022 13:30:00	51.05924	-4.27538	0	2.620	4.410	13.3	6.1	273	 19	11.2
  02-Jan-2022 14:00:00	51.05925	-4.27544	0	2.430	3.470	13.3	5.9	273	 19	11.2
  02-Jan-2022 14:30:00	51.05930	-4.27546	0	2.150	3.040	12.5	5.3	276	 16	11.2
  02-Jan-2022 15:00:00	51.05932	-4.27551	0	2.010	2.890	11.1	5.1	274	 12	11.2
  02-Jan-2022 15:30:00	51.05932	-4.27553	0	1.910	2.730	6.2	4.8	276	 18	11.2
  02-Jan-2022 16:00:00	51.05936	-4.27555	0	1.930	3.430	6.2	4.9	281	 18	11.2
  02-Jan-2022 16:30:00	51.05935	-4.27555	0	1.950	3.350	11.8	4.9	274	 20	11.2
  02-Jan-2022 17:00:00	51.05934	-4.27559	0	1.830	2.980	11.8	4.9	278	 20	11.2
  02-Jan-2022 17:30:00	51.05936	-4.27566	0	1.920	3.050	12.5	4.9	277	 36	11.1
  02-Jan-2022 18:00:00	51.05927	-4.27559	0	1.990	4.210	12.5	5.3	286	 15	11.2
  02-Jan-2022 18:30:00	51.05902	-4.27600	0	2.020	3.520	13.3	5.5	287	 20	11.2
  02-Jan-2022 19:00:00	51.05867	-4.27651	0	2.080	3.630	11.1	5.6	286	 15	11.2
  02-Jan-2022 19:30:00	51.05863	-4.27658	0	1.960	2.960	11.8	5.6	280	 13	11.2
  02-Jan-2022 20:00:00	51.05860	-4.27651	0	2.020	3.000	9.1	5.7	280	 12	11.2
  02-Jan-2022 20:30:00	51.05856	-4.27643	0	2.020	3.130	10.5	5.7	280	 10	11.2
  02-Jan-2022 21:00:00	51.05855	-4.27613	0	2.070	2.950	12.5	6.1	277	 10	11.2
  02-Jan-2022 21:30:00	51.05865	-4.27570	0	2.000	2.960	9.1	6.0	280	 12	11.1
  02-Jan-2022 22:00:00	51.05893	-4.27542	0	2.410	3.710	11.8	6.7	274	 10	11.1
  02-Jan-2022 22:30:00	51.05922	-4.27540	0	2.350	3.610	10.5	6.2	276	 11	11.1
  02-Jan-2022 23:00:00	51.05930	-4.27548	0	2.640	3.670	12.5	6.8	274	 14	11.1
  02-Jan-2022 23:30:00	51.05935	-4.27548	0	2.540	3.890	10.0	6.6	276	 10	11.1
  03-Jan-2022 00:00:00	51.05935	-4.27551	0	2.670	4.570	12.5	6.6	278	 13	11.1
  03-Jan-2022 00:30:00	51.05925	-4.27542	0	2.680	3.720	12.5	6.7	273	 14	11.1
  03-Jan-2022 01:00:00	51.05927	-4.27546	0	2.740	3.980	10.5	6.7	276	 12	11.1
  03-Jan-2022 01:30:00	51.05928	-4.27542	0	2.570	3.540	9.1	6.2	274	 12	11.1
  03-Jan-2022 02:00:00	51.05929	-4.27546	0	2.660	4.650	10.5	6.3	274	 12	11.1
  03-Jan-2022 02:30:00	51.05930	-4.27548	0	2.630	4.130	11.1	6.2	277	 17	11.1
  03-Jan-2022 03:00:00	51.05929	-4.27546	0	2.630	4.220	11.8	6.2	274	 14	11.1
  03-Jan-2022 03:30:00	51.05930	-4.27546	0	2.520	3.690	11.1	6.0	271	 12	11.1
  03-Jan-2022 04:00:00	51.05930	-4.27553	0	2.570	3.510	11.1	6.2	281	 12	11.1
  03-Jan-2022 04:30:00	51.05931	-4.27553	0	2.290	3.340	11.8	6.0	283	 14	11.1
  03-Jan-2022 05:00:00	51.05926	-4.27548	0	2.350	3.470	12.5	6.1	281	 18	11.1
  03-Jan-2022 05:30:00	51.05924	-4.27551	0	2.180	3.530	10.5	5.9	281	 22	11.1
  03-Jan-2022 06:00:00	51.05924	-4.27551	0	2.380	3.610	10.5	6.2	277	 14	11.1
  03-Jan-2022 06:30:00	51.05902	-4.27557	0	2.230	3.460	12.5	5.8	294	 17	11.1
  03-Jan-2022 07:00:00	51.05867	-4.27645	0	2.440	4.310	12.5	6.5	295	 14	11.1
  03-Jan-2022 07:30:00	51.05867	-4.27664	0	2.390	3.340	11.8	6.6	288	 14	11.0
  03-Jan-2022 08:00:00	51.05870	-4.27671	0	2.300	3.470	13.3	6.7	288	 11	10.9
  03-Jan-2022 08:30:00	51.05862	-4.27660	0	2.470	3.740	12.5	7.1	280	 10	11.0
  03-Jan-2022 09:00:00	51.05862	-4.27662	0	2.550	3.730	13.3	7.3	283	 10	11.0
  03-Jan-2022 09:30:00	51.05860	-4.27645	0	2.400	4.010	11.8	7.4	284	 10	11.1
  03-Jan-2022 10:00:00	51.05857	-4.27643	0	2.360	4.230	12.5	7.3	283	 10	10.9
  03-Jan-2022 10:30:00	51.05861	-4.27639	0	2.500	3.850	14.3	7.7	287	 11	10.9
  03-Jan-2022 11:00:00	51.05867	-4.27587	0	2.940	5.130	12.5	8.3	284	  7	10.9
  03-Jan-2022 11:30:00	51.05919	-4.27553	0	2.800	3.840	13.3	7.8	286	  7	10.9
  03-Jan-2022 12:00:00	51.05931	-4.27555	0	2.800	4.230	12.5	7.7	288	  9	11.0
  03-Jan-2022 12:30:00	51.05940	-4.27566	0	2.830	4.670	13.3	7.7	286	  8	11.0
  03-Jan-2022 13:00:00	51.05940	-4.27561	0	2.990	5.380	10.5	7.8	277	  9	11.0
  03-Jan-2022 13:30:00	51.05936	-4.27559	0	2.950	4.150	11.8	7.5	276	 17	11.0
  03-Jan-2022 14:00:00	51.05932	-4.27548	0	2.940	4.080	11.8	7.7	277	 13	11.1
  03-Jan-2022 14:30:00	51.05931	-4.27551	0	2.740	4.120	10.5	7.3	280	 10	11.1
  03-Jan-2022 15:00:00	51.05929	-4.27551	0	2.660	4.020	12.5	7.0	281	 13	11.1
  03-Jan-2022 15:30:00	51.05929	-4.27546	0	2.390	3.340	11.8	6.7	277	 10	11.1
  03-Jan-2022 16:00:00	51.05929	-4.27546	0	2.120	3.060	13.3	6.2	277	 16	11.1
  03-Jan-2022 16:30:00	51.05927	-4.27548	0	2.130	2.980	13.3	6.2	286	 15	11.1
  03-Jan-2022 17:00:00	51.05924	-4.27548	0	1.900	2.890	12.5	5.9	281	 13	11.1
  03-Jan-2022 17:30:00	51.05921	-4.27546	0	2.050	2.690	13.3	6.3	284	 18	11.1
  03-Jan-2022 18:00:00	51.05913	-4.27548	0	1.980	2.900	12.5	6.2	291	 19	11.1
  03-Jan-2022 18:30:00	51.05896	-4.27557	0	2.120	3.260	14.3	7.0	284	 21	11.1
  03-Jan-2022 19:00:00	51.05862	-4.27645	0	2.040	3.070	13.3	6.8	292	 16	11.1
  03-Jan-2022 19:30:00	51.05862	-4.27656	0	1.950	2.950	14.3	6.8	291	 22	11.1
  03-Jan-2022 20:00:00	51.05862	-4.27660	0	1.810	2.560	13.3	6.6	288	 16	11.1
  03-Jan-2022 20:30:00	51.05857	-4.27656	0	2.060	3.330	14.3	7.5	284	 14	11.1
  03-Jan-2022 21:00:00	51.05856	-4.27654	0	2.140	3.460	13.3	7.7	292	 16	11.1
  03-Jan-2022 21:30:00	51.05857	-4.27656	0	2.060	3.020	12.5	7.8	286	  7	10.9
  03-Jan-2022 22:00:00	51.05862	-4.27658	0	1.860	2.600	14.3	7.3	286	  9	10.9
  03-Jan-2022 22:30:00	51.05856	-4.27643	0	1.770	2.880	13.3	7.1	284	 10	10.8
  03-Jan-2022 23:00:00	51.05857	-4.27630	0	2.060	3.680	14.3	7.7	286	  7	10.8
  03-Jan-2022 23:30:00	51.05863	-4.27581	0	2.380	3.710	11.8	7.8	281	  6	10.8
  04-Jan-2022 00:00:00	51.05882	-4.27551	0	2.330	3.370	12.5	7.7	283	  9	10.8
  04-Jan-2022 00:30:00	51.05908	-4.27538	0	2.250	3.380	11.8	7.0	283	 10	10.8
  04-Jan-2022 01:00:00	51.05916	-4.27538	0	2.460	3.390	11.8	7.1	284	 11	10.9
  04-Jan-2022 01:30:00	51.05921	-4.27542	0	2.660	3.970	10.5	7.4	277	  9	10.9
  04-Jan-2022 02:00:00	51.05921	-4.27540	0	2.630	4.600	10.0	6.9	276	  8	10.9
  04-Jan-2022 02:30:00	51.05919	-4.27542	0	2.680	3.870	12.5	6.7	280	 12	11.0
  04-Jan-2022 03:00:00	51.05923	-4.27542	0	2.590	3.860	10.0	6.2	277	 13	11.0
  04-Jan-2022 03:30:00	51.05926	-4.27544	0	2.630	3.500	10.5	6.2	276	 12	11.0
  04-Jan-2022 04:00:00	51.05921	-4.27540	0	2.270	3.240	10.5	5.7	277	 14	11.1
  04-Jan-2022 04:30:00	51.05923	-4.27544	2	2.040	3.090	7.1	5.6	287	 17	11.1
  04-Jan-2022 05:00:00	51.05917	-4.27542	0	2.100	3.020	12.5	6.1	278	 16	11.1
  04-Jan-2022 05:30:00	51.05912	-4.27540	0	1.830	2.710	10.5	5.8	284	 14	11.0
  04-Jan-2022 06:00:00	51.05882	-4.27546	0	1.770	2.760	11.8	5.2	286	 23	11.0
  04-Jan-2022 06:30:00	51.05855	-4.27583	0	1.970	2.780	10.5	4.9	281	 24	11.0
  04-Jan-2022 07:00:00	51.05853	-4.27641	0	2.310	4.110	11.8	5.0	290	 28	11.0
  04-Jan-2022 07:30:00	51.05857	-4.27658	0	2.370	4.550	5.9	5.0	323	 25	11.0
  04-Jan-2022 08:00:00	51.05857	-4.27664	0	2.960	4.090	7.7	5.6	311	 20	11.0
  04-Jan-2022 08:30:00	51.05860	-4.27669	0	2.590	3.720	7.1	5.5	323	 21	10.9
  04-Jan-2022 09:00:00	51.05863	-4.27671	0	2.170	3.270	12.5	5.3	295	 18	10.9
  04-Jan-2022 09:30:00	51.05854	-4.27656	2	1.870	2.520	9.1	5.1	294	 16	10.9
  04-Jan-2022 10:00:00	51.05852	-4.27656	0	1.670	2.570	11.8	5.3	284	 12	10.9
  04-Jan-2022 10:30:00	51.05852	-4.27647	0	1.500	2.370	11.8	5.2	278	 12	10.9
  04-Jan-2022 11:00:00	51.05854	-4.27660	0	1.470	2.230	11.8	5.3	284	 13	10.4
  04-Jan-2022 11:30:00	51.05851	-4.27647	0	1.600	2.530	10.5	5.6	280	 13	10.5
  04-Jan-2022 12:00:00	51.05848	-4.27636	0	1.740	2.550	11.8	5.7	284	 10	10.6
  04-Jan-2022 12:30:00	51.05849	-4.27624	0	1.830	2.750	11.1	5.6	280	 10	10.8
  04-Jan-2022 13:00:00	51.05848	-4.27600	0	1.770	2.630	11.1	5.3	281	 14	10.8
  04-Jan-2022 13:30:00	51.05848	-4.27608	0	1.740	2.730	10.0	5.1	287	 13	10.6
  04-Jan-2022 14:00:00	51.05850	-4.27593	0	1.830	2.680	11.1	5.2	283	 20	10.7
  04-Jan-2022 14:30:00	51.05853	-4.27581	0	1.870	2.890	11.1	5.3	281	 15	10.7
  04-Jan-2022 15:00:00	51.05872	-4.27548	0	1.890	3.050	10.5	5.3	286	 14	10.7
  04-Jan-2022 15:30:00	51.05893	-4.27542	0	1.940	2.650	11.1	5.2	286	 15	10.7
  04-Jan-2022 16:00:00	51.05895	-4.27538	0	1.910	3.170	7.1	5.1	291	 12	10.8
  04-Jan-2022 16:30:00	51.05895	-4.27538	0	1.910	3.110	6.2	4.8	301	 13	10.8
  04-Jan-2022 17:00:00	51.05897	-4.27540	0	1.960	3.010	6.2	4.8	308	 16	10.8
  04-Jan-2022 17:30:00	51.05899	-4.27540	0	1.840	2.910	5.6	4.5	315	 24	10.8
  04-Jan-2022 18:00:00	51.05908	-4.27540	0	1.850	3.170	5.9	4.7	316	 21	10.9
  04-Jan-2022 18:30:00	51.05896	-4.27542	0	1.860	3.490	5.6	4.7	321	 20	10.9
  04-Jan-2022 19:00:00	51.05867	-4.27559	0	1.850	2.660	5.6	4.6	323	 22	10.9
  04-Jan-2022 19:30:00	51.05853	-4.27613	0	1.840	2.660	5.9	4.7	318	 19	10.9
  04-Jan-2022 20:00:00	51.05856	-4.27645	0	1.820	2.910	5.9	4.5	321	 14	10.8
  04-Jan-2022 20:30:00	51.05855	-4.27654	0	1.790	3.330	6.2	4.6	312	 21	10.8
  04-Jan-2022 21:00:00	51.05856	-4.27656	0	1.790	3.080	5.9	4.6	318	 24	10.8
  04-Jan-2022 21:30:00	51.05854	-4.27654	0	1.690	2.490	6.2	4.7	312	 15	10.8
  04-Jan-2022 22:00:00	51.05853	-4.27649	0	1.610	2.440	6.2	4.3	315	 19	10.8
  04-Jan-2022 22:30:00	51.05853	-4.27651	0	1.570	2.230	5.6	4.4	321	 14	10.4
  04-Jan-2022 23:00:00	51.05853	-4.27651	0	1.540	2.360	5.9	4.3	312	 18	10.3
  04-Jan-2022 23:30:00	51.05854	-4.27654	0	1.430	2.060	5.9	4.3	311	 15	10.2
  05-Jan-2022 00:00:00	51.05850	-4.27641	0	1.470	2.360	10.5	4.5	278	 19	10.1
  05-Jan-2022 00:30:00	51.05849	-4.27619	2	1.460	2.750	6.7	4.4	287	 20	10.2
  05-Jan-2022 01:00:00	51.05848	-4.27604	0	1.790	2.580	10.0	4.7	281	 14	10.4
  05-Jan-2022 01:30:00	51.05850	-4.27585	0	1.860	2.980	6.2	4.8	298	 14	10.4
  05-Jan-2022 02:00:00	51.05853	-4.27578	0	1.820	2.650	7.1	4.8	295	 16	10.3
  05-Jan-2022 02:30:00	51.05863	-4.27559	0	1.920	2.650	6.7	4.9	298	 12	10.4
  05-Jan-2022 03:00:00	51.05879	-4.27542	0	1.980	2.920	6.2	4.8	300	 16	10.4
  05-Jan-2022 03:30:00	51.05894	-4.27538	0	1.890	2.980	6.2	4.8	298	 17	10.6
  05-Jan-2022 04:00:00	51.05912	-4.27540	0	1.860	3.010	6.2	4.7	300	 18	10.6
  05-Jan-2022 04:30:00	51.05919	-4.27542	0	1.810	2.910	6.2	4.6	297	 19	10.7
  05-Jan-2022 05:00:00	51.05922	-4.27544	0	1.740	2.880	6.2	4.5	297	 19	10.8
  05-Jan-2022 05:30:00	51.05922	-4.27542	0	1.680	2.430	5.9	4.5	294	 18	10.8
  05-Jan-2022 06:00:00	51.05925	-4.27548	0	1.520	2.220	5.6	4.3	302	 19	10.8
  05-Jan-2022 06:30:00	51.05922	-4.27546	0	1.480	2.300	5.6	4.2	305	 21	10.8
  05-Jan-2022 07:00:00	51.05906	-4.27544	0	1.470	2.220	5.6	4.2	307	 22	10.8
  05-Jan-2022 07:30:00	51.05872	-4.27557	0	1.410	2.250	5.3	4.1	318	 21	10.7
  05-Jan-2022 08:00:00	51.05855	-4.27624	2	1.550	2.390	10.0	4.3	287	 22	10.7
  05-Jan-2022 08:30:00	51.05858	-4.27654	0	1.490	2.140	5.3	4.3	315	 20	10.7
  05-Jan-2022 09:00:00	51.05861	-4.27658	0	1.520	2.140	6.2	4.2	297	 22	10.7
  05-Jan-2022 09:30:00	51.05857	-4.27660	0	1.410	2.190	5.3	4.1	322	 22	10.8
  05-Jan-2022 10:00:00	51.05857	-4.27662	0	1.340	2.010	5.3	4.1	318	 24	10.8
  05-Jan-2022 10:30:00	51.05855	-4.27662	0	1.300	2.110	5.6	4.1	312	 23	10.4
  05-Jan-2022 11:00:00	51.05852	-4.27656	0	1.230	1.930	5.3	4.0	314	 20	10.0
  05-Jan-2022 11:30:00	51.05854	-4.27660	0	1.180	1.870	5.3	4.0	308	 22	9.8
  05-Jan-2022 12:00:00	51.05853	-4.27654	0	1.100	1.480	10.5	4.2	277	 19	9.8
  05-Jan-2022 12:30:00	51.05850	-4.27634	2	0.980	1.360	5.3	4.2	307	 15	9.8
  05-Jan-2022 13:00:00	51.05849	-4.27613	0	1.010	1.510	10.0	4.3	278	 15	9.8
  05-Jan-2022 13:30:00	51.05851	-4.27589	0	0.980	1.250	10.0	4.2	283	 13	9.9
  05-Jan-2022 14:00:00	51.05858	-4.27566	0	1.000	1.400	10.0	4.2	283	 10	10.1
  05-Jan-2022 14:30:00	51.05868	-4.27553	0	1.050	1.550	9.1	4.0	281	 13	10.2
  05-Jan-2022 15:00:00	51.05880	-4.27540	0	1.100	1.490	9.1	4.1	278	 14	10.2
  05-Jan-2022 15:30:00	51.05900	-4.27540	0	1.170	1.790	8.3	4.3	280	 10	10.3
  05-Jan-2022 16:00:00	51.05913	-4.27542	0	1.160	1.680	9.1	4.2	286	 14	10.3
  05-Jan-2022 16:30:00	51.05919	-4.27544	0	1.140	1.750	8.3	4.2	283	 12	10.3
  05-Jan-2022 17:00:00	51.05921	-4.27544	0	1.060	1.650	8.3	3.9	280	 13	10.4
  05-Jan-2022 17:30:00	51.05920	-4.27544	0	1.010	1.350	5.0	3.9	302	 23	10.4
  05-Jan-2022 18:00:00	51.05917	-4.27544	0	0.920	1.260	5.0	3.7	308	 22	10.5
  05-Jan-2022 18:30:00	51.05916	-4.27548	0	0.940	1.380	8.3	3.8	281	 19	10.6
  05-Jan-2022 19:00:00	51.05917	-4.27551	0	0.920	1.190	10.0	3.8	295	 22	10.6
  05-Jan-2022 19:30:00	51.05921	-4.27559	0	0.830	1.330	9.1	3.6	288	 30	10.6
  05-Jan-2022 20:00:00	51.05906	-4.27589	0	0.800	1.120	10.0	3.8	287	 30	10.5
  05-Jan-2022 20:30:00	51.05878	-4.27671	0	0.750	0.880	10.5	4.3	288	 23	10.4
  05-Jan-2022 21:00:00	51.05871	-4.27669	0	0.700	1.130	10.5	4.1	287	 22	10.5
  05-Jan-2022 21:30:00	51.05867	-4.27671	0	0.670	1.130	10.5	4.1	290	 22	10.4
  05-Jan-2022 22:00:00	51.05864	-4.27669	0	0.580	0.840	10.0	3.9	287	 19	10.4
  05-Jan-2022 22:30:00	51.05861	-4.27669	0	0.560	0.800	10.0	4.3	284	 28	9.7
  05-Jan-2022 23:00:00	51.05856	-4.27662	0	0.500	0.750	10.5	4.8	287	 22	9.9
  05-Jan-2022 23:30:00	51.05858	-4.27660	0	0.530	0.740	10.0	5.7	280	  9	10.2
  06-Jan-2022 00:00:00	51.05861	-4.27660	0	0.460	0.590	10.5	6.0	281	 13	10.2
  06-Jan-2022 00:30:00	51.05858	-4.27647	0	0.450	0.710	10.5	6.1	280	 10	10.2
  06-Jan-2022 01:00:00	51.05868	-4.27639	0	0.530	0.780	16.7	5.9	287	  9	10.2
  06-Jan-2022 01:30:00	51.05904	-4.27600	0	0.550	0.770	10.0	4.3	278	 13	10.2
  06-Jan-2022 02:00:00	51.05922	-4.27551	0	0.540	0.820	9.1	4.2	280	 13	10.3
  06-Jan-2022 02:30:00	51.05934	-4.27559	0	0.570	0.860	16.7	4.3	292	 14	10.3
  06-Jan-2022 03:00:00	51.05939	-4.27561	2	0.610	1.050	8.3	4.3	276	 14	10.4
  06-Jan-2022 03:30:00	51.05941	-4.27563	2	0.610	0.990	8.3	3.9	280	 12	10.5
  06-Jan-2022 04:00:00	51.05940	-4.27559	2	0.650	1.010	8.3	3.6	278	 17	10.6
  06-Jan-2022 04:30:00	51.05938	-4.27559	0	0.630	0.940	15.4	3.6	290	 22	10.4
  06-Jan-2022 05:00:00	51.05938	-4.27557	0	0.550	1.050	15.4	3.3	291	 37	10.2
  06-Jan-2022 05:30:00	51.05932	-4.27548	0	0.560	0.890	15.4	3.5	278	 26	10.1
  06-Jan-2022 06:00:00	51.05929	-4.27544	0	0.550	0.800	14.3	3.7	294	 28	10.1
  06-Jan-2022 06:30:00	51.05928	-4.27548	0	0.550	0.870	14.3	3.5	278	 30	10.2
  06-Jan-2022 07:00:00	51.05924	-4.27546	0	0.580	0.720	14.3	4.0	276	 42	9.9
  06-Jan-2022 07:30:00	51.05923	-4.27548	0	0.620	1.000	15.4	4.3	286	 42	10.1
  06-Jan-2022 08:00:00	51.05921	-4.27553	0	0.640	0.940	14.3	4.3	286	 43	10.2
